ID,TIPO,CLASE,MARCA,LINEA,CILINDRAJE,TONELAJE,PASAJE,MODELOS,,,,,,,,,,,,,,,,,,,,,,,,
7890,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AG,POWER 100 MT,100,0,0,370,380,380,380,380,380,380,380,380,400,420,440,460,480,480,577,670,760,860,860,957,1050,1050,1100,1200
7889,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AG,POWER 150 MT,150,0,0,370,380,380,380,380,380,380,380,380,480,480,480,480,577,670,760,860,860,957,957,1050,1150,1246,1310,1500
23712,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AD 15W,150,0,0,180,278,278,278,370,370,460,460,556,556,556,650,740,740,830,927,927,927,1020,1110,1300,1390,1390,1460,1800
27472,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AD12W,124,,,270,278,370,370,370,460,460,460,556,556,556,556,650,650,740,830,830,830,927,927,1020,1020,1110,1160,1300
7915,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 100S MT,98,0,0,370,380,380,380,380,380,380,380,380,480,480,480,480,577,577,670,760,860,860,957,1050,1050,1150,1210,1400
24721,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 110 (LINEA BASE ESTANDAR),110,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1340,1440,1630,1720,1910,2110,2210,2500
7912,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 110 SMART MT,107,0,0,370,380,380,380,380,380,380,380,380,480,577,670,760,860,860,957,957,1050,1150,1246,1340,1440,1630,1710,2100
7905,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 110 SPECIAL MT,110,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1340,1440,1630,1720,1910,2200,2320,2600
7908,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 110S MT,107,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1340,1440,1630,1720,1910,2110,2210,2500
22354,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 110SII,107,0,0,300,400,400,400,500,500,500,638,660,790,810,947,1040,1140,1266,1400,1420,1575,1700,1820,1980,2110,2260,2380,2700
24720,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 (LINEA BASE ESTANDAR),125,0,0,370,380,380,380,380,380,380,380,480,577,670,760,840,850,860,957,1050,1150,1246,1340,1440,1630,1820,1910,2200
7904,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 EVO MT,124,0,0,370,380,380,380,380,380,380,380,480,577,670,760,840,850,860,957,1050,1150,1246,1340,1440,1630,1820,1910,2200
7902,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 EVO NE MT,124,0,0,370,380,380,380,380,380,480,577,670,760,760,860,860,957,1050,1150,1246,1340,1530,1630,1720,1820,2200,2320,2600
7914,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 MT,124,0,0,370,380,380,380,380,380,380,380,480,577,670,760,800,840,860,957,1050,1150,1246,1340,1440,1630,1820,1910,2200
7907,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 NKD FRENO DISCO MT,125,0,0,310,410,510,510,510,510,618,618,650,670,700,730,850,957,1050,1180,1320,1440,1470,1606,1750,1880,2100,2200,2500
7913,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 NKD MT,125,0,0,370,380,380,380,380,380,380,380,380,480,480,480,577,670,760,860,860,957,957,1050,1150,1246,1340,1410,1600
23558,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 NKDR,125,0,0,370,380,380,380,380,380,380,380,380,480,480,480,577,670,760,860,860,957,957,1050,1150,1246,1340,1410,1600
24293,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 RL,125,0,0,310,410,510,510,546,566,700,730,830,937,1050,1180,1210,1340,1470,1500,1550,1720,1740,2000,2250,2440,2610,2750,3300
23557,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 SC,125,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1246,1340,1440,1630,1720,1910,2010,2200
34821,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 SC-R,125,0,0,600,618,720,820,927,1030,1130,1235,1340,1440,1540,1650,1750,1960,2160,2370,2570,2780,2990,3190,3500,3810,4120,4530,5400
7909,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 SL MT,124,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1246,1340,1440,1630,1720,1910,2010,2200
7910,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 SLR MT,124,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1246,1340,1440,1530,1630,1820,1910,2200
7931,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 TT MT,125,0,0,370,380,380,480,577,670,760,760,760,860,957,1050,1150,1246,1246,1340,1440,1530,1720,1820,2010,2110,2300,2410,2900
40781,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 TTR MT,125,0,0,0,600,600,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1900,2100,2300,2500,2700,2900,3200,3500,3850,4400
22333,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 125 W,125,0,0,310,410,510,510,546,566,700,730,830,937,1050,1180,1210,1340,1470,1500,1530,1660,1720,1940,2200,2330,2480,2600,3100
30069,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 135-ZS,150,,,270,370,370,460,460,556,556,556,556,556,650,740,740,740,830,830,927,927,1020,1110,1200,1300,1390,1460,1800
24719,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 (LINEA BASE ESTANDAR),150,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1246,1340,1440,1630,1720,1910,2010,2200
22359,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 BR,149,0,0,390,400,500,500,638,660,790,810,916,1010,1040,1180,1320,1440,1585,1700,1750,1900,2010,2160,2410,2560,2920,3070,3300
7901,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 EVO MT,150,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1246,1340,1440,1630,1720,1910,2010,2200
7900,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 EVO NE MT,149,0,0,370,380,380,380,380,380,480,577,670,760,760,860,860,957,1050,1150,1246,1340,1530,1630,1720,1910,2110,2210,2500
22046,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 NE,149,0,0,370,380,380,380,380,380,480,577,670,760,760,860,860,957,1050,1150,1246,1340,1530,1630,1720,1910,2110,2210,2500
22324,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 RL,149,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1246,1340,1440,1630,1720,1910,2010,2200
22340,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 RS,149,0,0,400,410,510,546,670,700,830,830,937,1050,1080,1210,1340,1370,1500,1660,1690,1830,2000,2150,2420,2560,2750,2880,3300
24104,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 RSII,149,0,0,400,410,510,546,670,700,830,830,937,1050,1080,1210,1340,1370,1500,1660,1690,1830,2000,2150,2420,2560,2750,2880,3300
7898,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 150 TT MT,149,0,0,370,380,380,380,480,577,670,760,760,760,860,957,1050,1150,1246,1340,1530,1630,1720,1910,2110,2200,2400,2520,3000
30066,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 175-3W,175,,,360,556,556,556,556,650,650,740,740,740,740,830,830,927,1020,1110,1200,1300,1300,1390,1575,1670,1760,1850,2200
30065,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 175-WH,175,,,810,927,1020,1110,1200,1300,1390,1480,1575,1670,1760,1850,2040,2130,2220,2410,2590,2690,2870,3060,3340,3430,3710,3890,4400
32847,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 180 LX,181,,,450,460,556,650,740,830,927,927,1020,1110,1200,1300,1480,1670,1850,2040,2220,2500,2690,2960,3240,3610,3980,4180,4700
7546603,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 180 TTR,179,,,700,820,927,927,1030,1130,1235,1340,1440,1540,1650,1750,1850,2060,2160,2370,2570,2780,2990,3290,3500,3810,4120,4420,5300
40782,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 180 TTR MT,180,0,0,0,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1900,2100,2300,2500,2700,2900,3100,3400,3700,4000,4300,4620,5500
7897,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 180 XM MT,180,0,0,450,587,700,720,820,830,927,947,1180,1200,1320,1450,1460,1585,1780,1910,2140,2280,2410,2630,2950,3140,3550,3730,4400
32598,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 180 ZW,180,,,1800,2060,2160,2260,2370,2470,2570,2680,2780,2880,2990,3190,3400,3600,3810,4020,4220,4460,4630,4840,5040,5250,5560,5870,6600
24718,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 200 (LINEA BASE ESTANDAR),200,0,0,370,577,670,670,760,760,860,957,1050,1150,1150,1340,1530,1630,1820,2010,2110,2300,2490,2780,2960,3250,3540,3720,4400
7894,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 200 SM MT,194,0,0,370,577,670,670,760,760,860,957,1050,1150,1150,1340,1530,1630,1820,2010,2110,2300,2490,2780,2960,3250,3540,3720,4400
34822,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 200 TTR,200,0,0,600,618,618,720,820,927,1030,1130,1235,1340,1440,1540,1650,1750,1850,2060,2260,2470,2680,2880,3090,3400,3710,4020,4400
34823,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 200 TTX,200,0,0,600,618,720,820,927,1030,1130,1235,1340,1440,1540,1650,1750,1960,2160,2370,2570,2780,2990,3190,3500,3810,4120,4530,5400
7895,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 200 XM MT,194,0,0,470,577,670,760,760,860,957,1050,1150,1246,1440,1530,1720,1910,2010,2300,2400,2580,2780,3070,3360,3630,3920,4120,4400
24717,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 235 (LINEA BASE ESTANDAR),235,0,0,470,577,670,760,760,860,957,1050,1150,1150,1340,1530,1630,1820,2010,2110,2300,2400,2680,2870,3160,3540,3740,3920,4400
7893,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 235R MT,233,0,0,470,577,670,760,760,860,957,1050,1150,1150,1340,1530,1630,1820,2010,2110,2300,2400,2680,2870,3160,3540,3740,3920,4400
7892,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 235X MT,235,0,0,560,670,760,760,860,957,1050,1050,1246,1440,1530,1720,1910,2110,2300,2490,2780,2960,3250,3540,3830,4210,4590,4820,5500
31048,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 250 TT ADVENTURE,250,,,740,957,1050,1050,1150,1340,1440,1630,1820,1910,2200,2300,2580,2780,3070,3450,3740,4120,4500,4980,5360,5940,6510,6840,7700
31049,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 250D,250,,,720,927,1020,1020,1110,1300,1390,1575,1760,1850,2130,2220,2500,2690,2960,3340,3610,3980,4350,4820,5190,5740,6300,6620,7700
30064,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 250S,250,,,740,957,1050,1050,1150,1340,1440,1630,1820,1910,2200,2300,2580,2780,3070,3450,3740,4120,4500,4980,5360,5940,6510,6840,7700
30067,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 250-TTR,250,,,720,927,1020,1020,1110,1300,1390,1575,1760,1850,2130,2220,2500,2690,2960,3340,3610,3980,4350,4820,5190,5740,6300,6620,7700
30068,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 400-CF,397,,,900,1110,1200,1300,1390,1390,1575,1575,1760,1760,1950,2040,2220,2320,2590,2690,2870,3060,3240,3430,3610,3800,4170,4380,5300
30063,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK 650,652,,,990,1300,1300,1480,1575,1575,1760,1850,1950,2040,2220,2410,2590,2590,2870,3060,3340,3430,3610,3890,4170,4450,4730,4960,5500
31050,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK110 NV,110,,,310,410,410,410,510,510,510,650,670,800,830,957,1050,1150,1290,1420,1440,1606,1730,1880,2020,2170,2330,2440,2900
31051,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK125 NE,125,,,370,380,380,380,380,380,480,577,670,760,760,860,860,957,1050,1150,1246,1340,1530,1630,1720,1820,2200,2320,2600
22096,"MOTOCICLETAS Y
MOTOCARROS","MOTOCARRO
ELECTRICO",AKT,AK150BR,149,0,0,310,319,319,410,440,460,490,628,628,628,750,780,916,937,1070,1225,1277,1460,1630,1780,1950,2100,2300,2410,2900
22099,"MOTOCICLETAS Y
MOTOCARROS","MOTOCARRO
ELECTRICO",AKT,AK150NE,149,0,0,310,319,319,410,410,410,440,566,597,628,730,750,850,885,1020,1130,1160,1350,1510,1650,1780,1940,2120,2220,2500
31998,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK180TTX,181,,,450,460,556,650,740,830,927,927,1020,1110,1200,1300,1480,1670,1850,2040,2220,2500,2690,2960,3240,3610,3980,4180,4700
28176,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,AK200ZW,197,,,720,830,927,1020,1020,1110,1300,1390,1575,1760,1850,2130,2220,2500,2690,2960,3340,3610,3980,4350,4820,5190,5560,5840,6600
29985,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,AK250R,230,,,860,1030,1150,1256,1277,1420,1550,1596,1730,1850,2020,2140,2320,2450,2610,2800,3080,3250,3440,3750,4040,4370,4930,5180,5800
27770,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,AKT 180 ZW,180,,,740,957,1050,1050,1246,1440,1530,1720,1820,2010,2300,2400,2680,2960,3250,3540,3830,4210,4590,4880,5270,5740,6230,6540,7700
27769,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,AKT-3W,181,,,740,860,957,1050,1050,1150,1340,1440,1630,1820,1910,2200,2300,2580,2780,3070,3450,3740,4120,4500,4980,5360,5740,6030,6600
40778,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,AKT-3W 200,200,0,0,0,1500,1600,1700,1900,2100,2300,2500,2700,2900,3200,3500,3800,4100,4500,4900,5300,5800,6300,6900,7500,8200,8900,9680,11000
28645,"MOTOCICLETAS Y
MOTOCARROS",CUATRIMOTO,AKT,ATV 200R,193,,,720,927,1020,1020,1200,1390,1480,1670,1760,1950,2220,2320,2590,2870,3150,3340,3610,3980,4350,4730,5100,5560,6020,6320,7600
28644,"MOTOCICLETAS Y
MOTOCARROS",CUATRIMOTO,AKT,ATV 250 F2,230,,,1080,1300,1390,1575,1575,1760,1760,1950,2040,2130,2320,2500,2590,2780,2960,3240,3340,3610,3800,4080,4350,4630,5000,5250,6300
28407,"MOTOCICLETAS Y
MOTOCARROS",CUATRIMOTO,AKT,ATV 300R,292,,,630,740,830,927,1020,1020,1110,1200,1300,1390,1480,1575,1575,1760,1950,1950,2040,2220,2320,2590,2690,2870,3150,3300,3700
28804,"MOTOCICLETAS Y
MOTOCARROS",CUATRIMOTO,AKT,ATV230,230,,,450,556,556,650,650,650,740,740,740,830,927,1020,1110,1200,1200,1300,1390,1480,1670,1670,1760,1950,2130,2230,2500
7698,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,BIZON 200R MT,193,0,0,720,927,1020,1020,1200,1390,1480,1670,1760,1950,2220,2320,2590,2870,3150,3340,3610,3980,4350,4730,5100,5560,6020,6320,7600
24722,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,CARGUERO (LINEA BASE ESTANDAR),180,0,0,820,1060,1160,1290,1380,1480,1596,1810,2020,2220,2440,2760,3080,3180,3500,3920,4140,4460,4890,5300,5950,6370,7170,7530,8800
7705,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,CARGUERO 175 MT,175,0,0,740,860,957,1050,1050,1246,1440,1530,1720,1820,2110,2300,2490,2680,2960,3160,3450,3630,3830,4310,4590,5080,5460,5730,6600
7699,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,CARGUERO 180 ZW FURGON ASL MT,180,0,0,1320,1670,1810,1840,2000,2150,2430,2710,2860,3050,3350,3760,4150,4370,4820,5340,5680,6190,6660,7120,7890,8490,9460,9930,11000
7700,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,CARGUERO 180 ZW FURGON MT,180,0,0,1200,1430,1585,1720,1860,2020,2180,2370,2610,2900,3200,3500,3790,4100,4340,4770,5200,5690,6050,6410,6950,7450,8050,8450,9900
7704,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,CARGUERO 180 ZW MT,180,0,0,740,957,1050,1050,1246,1440,1530,1720,1820,2110,2300,2490,2680,3070,3360,3630,3920,4310,4790,5170,5360,5740,6230,6540,7700
7702,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,CARGUERO 200 ZW MT,197,0,0,740,860,957,1050,1050,1150,1340,1440,1630,1820,1910,2200,2300,2580,2780,3070,3450,3740,4120,4500,4980,5360,5740,6030,6600
40783,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,CR5 180,180,0,0,0,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1900,2100,2300,2500,2700,2900,3100,3400,3700,4000,4300,4620,5500
24716,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,DYNAMIC (LINEA BASE ESTANDAR),125,0,0,310,410,510,546,566,597,730,730,830,957,1080,1235,1256,1390,1520,1690,1720,1860,1925,2120,2390,2510,2870,3020,3300
7918,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,DYNAMIC 125 AT,125,0,0,310,420,525,556,577,607,740,740,840,970,1100,1256,1277,1410,1540,1710,1740,1890,1960,2180,2420,2550,2910,3060,3300
7917,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,DYNAMIC 125 R AT,125,0,0,310,420,525,525,556,577,710,740,840,947,1070,1225,1256,1380,1510,1660,1710,1870,1890,2160,2390,2570,2960,3110,3500
7920,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,EVO R3 125 MT,125,0,0,370,380,380,380,380,380,480,577,670,760,760,860,860,957,1050,1150,1246,1440,1630,1720,1910,2110,2300,2410,2900
7919,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,EVO R3 150 MT,149,0,0,390,400,500,500,607,638,660,790,916,1010,1010,1160,1290,1420,1550,1680,1700,1850,1980,2110,2360,2510,2890,3040,3300
24715,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,FLEX (LINEA BASE ESTANDAR),125,0,0,370,380,380,380,480,577,670,760,760,760,860,957,1050,1150,1246,1340,1440,1530,1720,1820,2010,2110,2300,2410,2900
7922,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,FLEX 125 MT,124,0,0,370,380,380,380,480,577,670,760,760,760,860,957,1050,1150,1246,1340,1440,1530,1720,1820,2010,2110,2300,2410,2900
7921,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,FLEX CYCLONE 125 MT,124,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1340,1440,1630,1720,1910,2110,2210,2500
7923,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,FLEX ULTRA MT,124,0,0,310,410,510,510,510,546,670,700,830,937,1030,1170,1200,1340,1460,1606,1670,1810,1840,2070,2330,2480,2840,2990,3300
24714,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,JET (LINEA BASE ESTANDAR),125,0,0,310,410,546,566,597,597,730,730,850,990,1110,1235,1266,1430,1585,1620,1670,1820,1880,2110,2340,2520,2680,2810,3300
7926,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,JET 4 AT,125,0,0,310,420,556,577,607,607,740,740,860,1000,1130,1277,1310,1470,1630,1770,1820,1980,2040,2280,2470,2660,3030,3180,3600
7925,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,JET 4 X/R AT,125,0,0,310,420,556,577,607,607,740,740,860,1000,1130,1277,1310,1470,1630,1770,1820,1980,2040,2300,2530,2690,3110,3260,3700
7924,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,JET 5 R AT,150,0,0,410,420,556,577,710,710,840,840,970,1100,1130,1277,1410,1575,1740,1870,1925,2080,2240,2400,2660,2840,3260,3430,4100
30023,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,JL250,250,,,540,650,650,650,740,740,830,927,1020,1110,1110,1200,1300,1480,1575,1575,1670,1760,1950,2040,2130,2320,2500,2630,3200
7927,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,KOMFORT 115 MT,124,0,0,210,319,319,319,410,440,460,490,628,730,830,957,1080,1235,1460,1606,1670,1810,1840,2070,2360,2510,2870,3020,3300
7706,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,RANCHERO 250F MT,230,0,0,1120,1440,1630,1720,1910,2110,2300,2580,2780,3070,3360,3740,4030,4410,4880,5170,5550,6030,6510,7080,7750,8420,9190,9660,11000
24713,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,RTX (LINEA BASE ESTANDAR),150,0,0,400,410,410,410,440,460,490,525,628,730,850,990,1110,1290,1530,1800,1850,2000,2170,2330,2580,2740,3010,3160,3500
7929,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,RTX 150 MT,149,0,0,400,410,410,410,440,460,490,525,628,730,850,990,1110,1290,1530,1800,1850,2000,2170,2330,2580,2740,3010,3160,3500
7928,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,RTX 150 UNISHOCK MT,149,0,0,400,410,510,546,670,700,830,830,937,1050,1080,1235,1360,1490,1640,1780,1810,1970,2100,2250,2510,2670,3060,3210,3600
7707,"MOTOCICLETAS Y
MOTOCARROS",MOTOCARRO,AKT,SHARKY 110R MT,107,0,0,530,670,700,830,830,850,990,1020,1130,1160,1350,1470,1530,1690,1850,2010,2140,2230,2520,2580,2860,3150,3630,3820,4400
7930,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AKT,TT 150 MT,149,0,0,400,410,510,510,650,670,800,830,937,1030,1050,1200,1340,1460,1606,1760,1810,1950,2070,2220,2510,2670,3060,3210,3600
