ID,TIPO,CLASE,MARCA,LINEA,CILINDRAJE,TONELAJE,PASAJE,MODELOS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7881,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACB,ACB 125 MT,125,0,0,370,380,380,380,380,380,380,480,577,670,760,860,860,860,957,1050,1150,1246,1340,1440,1630,1720,1910,2010,2100
7882,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACB,B-STRONG 110 MT,107,0,0,370,380,380,380,380,380,380,480,577,670,760,830,875,916,957,1010,1060,1080,1100,1150,1246,1340,1440,1510,1800
7883,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACB,FORTRESS 125 AT,125,0,0,370,380,380,380,480,577,670,760,760,760,860,957,1050,1150,1246,1246,1440,1630,1720,1910,2110,2200,2400,2520,3000
7884,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACB,MONTANA 200 MT,200,0,0,370,380,380,380,380,380,380,380,380,480,480,480,480,577,670,760,860,860,957,957,1050,1150,1246,1310,1500
7885,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACB,TORNADO 200 MT,200,0,0,370,577,670,670,760,760,860,957,1050,1150,1246,1440,1530,1720,1910,2010,2200,2400,2580,2780,3070,3360,3630,3820,4100
27617,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACCURO,AC200,200,,,520,520,610,610,610,700,700,790,870,870,960,1050,1140,1220,1310,1400,1480,1570,1570,1750,1920,1920,2100,2200,2300
33399,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACE MOTOR,150T-6,150,,,510,510,590,590,590,680,680,760,760,760,850,850,930,930,1010,1100,1100,1190,1280,1280,1350,1440,1530,1600,1900
33400,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACE MOTOR,AC200GY-5,200,,,850,930,930,1010,1010,1100,1190,1190,1280,1350,1350,1440,1530,1610,1690,1780,1860,1950,2030,2120,2290,2380,2450,2580,2900
28672,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACE MOTOR,CHY250Z,250,,,450,520,520,610,610,610,700,700,700,700,790,870,960,1050,1140,1140,1220,1310,1480,1570,1570,1660,1830,1920,1900
30643,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,ACM ANGEL´S,CUSTOM BIG BUICK,1700,,,1980,2360,2530,2620,2880,3060,3320,3410,3670,3930,4190,4450,4710,4980,5410,5760,6020,6460,6810,7330,7770,8290,8990,9440,10700
7886,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AG,BWK 150 AT,150,0,0,370,380,380,380,380,380,380,380,380,400,420,440,460,480,480,577,577,577,670,760,860,860,957,1010,1100
40619,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AG,DD300,275,0,0,0,1100,1200,1300,1400,1500,1600,1700,1900,2100,2300,2500,2700,2900,3100,3400,3700,4000,4400,4800,5200,5700,6200,6694,7700
7887,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AG,ELEGANCE 300 AT,300,0,0,560,760,760,860,957,1050,1050,1150,1340,1530,1630,1820,1910,2200,2300,2490,2780,2960,3250,3540,3830,4210,4590,4820,5500
7888,"MOTOCICLETAS Y
MOTOCARROS",MOTOCICLETA,AG,HARLY 300 MT,300,0,0,560,670,760,760,860,957,1050,1050,1246,1440,1530,1720,1910,2110,2300,2490,2780,2960,3250,3540,3830,4210,4590,4820,5500
